"GEO_ID","NAME","B06009_001E","B06009_001M","B06009_002E","B06009_002M","B06009_003E","B06009_003M","B06009_004E","B06009_004M","B06009_005E","B06009_005M","B06009_006E","B06009_006M","B06009_007E","B06009_007M","B06009_008E","B06009_008M","B06009_009E","B06009_009M","B06009_010E","B06009_010M","B06009_011E","B06009_011M","B06009_012E","B06009_012M","B06009_013E","B06009_013M","B06009_014E","B06009_014M","B06009_015E","B06009_015M","B06009_016E","B06009_016M","B06009_017E","B06009_017M","B06009_018E","B06009_018M","B06009_019E","B06009_019M","B06009_020E","B06009_020M","B06009_021E","B06009_021M","B06009_022E","B06009_022M","B06009_023E","B06009_023M","B06009_024E","B06009_024M","B06009_025E","B06009_025M","B06009_026E","B06009_026M","B06009_027E","B06009_027M","B06009_028E","B06009_028M","B06009_029E","B06009_029M","B06009_030E","B06009_030M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than high school graduate","Margin of Error!!Total:!!Less than high school graduate","Estimate!!Total:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!High school graduate (includes equivalency)","Estimate!!Total:!!Some college or associate's degree","Margin of Error!!Total:!!Some college or associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Graduate or professional degree","Margin of Error!!Total:!!Graduate or professional degree","Estimate!!Total:!!Born in state of residence:","Margin of Error!!Total:!!Born in state of residence:","Estimate!!Total:!!Born in state of residence:!!Less than high school graduate","Margin of Error!!Total:!!Born in state of residence:!!Less than high school graduate","Estimate!!Total:!!Born in state of residence:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Born in state of residence:!!High school graduate (includes equivalency)","Estimate!!Total:!!Born in state of residence:!!Some college or associate's degree","Margin of Error!!Total:!!Born in state of residence:!!Some college or associate's degree","Estimate!!Total:!!Born in state of residence:!!Bachelor's degree","Margin of Error!!Total:!!Born in state of residence:!!Bachelor's degree","Estimate!!Total:!!Born in state of residence:!!Graduate or professional degree","Margin of Error!!Total:!!Born in state of residence:!!Graduate or professional degree","Estimate!!Total:!!Born in other state in the United States:","Margin of Error!!Total:!!Born in other state in the United States:","Estimate!!Total:!!Born in other state in the United States:!!Less than high school graduate","Margin of Error!!Total:!!Born in other state in the United States:!!Less than high school graduate","Estimate!!Total:!!Born in other state in the United States:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Born in other state in the United States:!!High school graduate (includes equivalency)","Estimate!!Total:!!Born in other state in the United States:!!Some college or associate's degree","Margin of Error!!Total:!!Born in other state in the United States:!!Some college or associate's degree","Estimate!!Total:!!Born in other state in the United States:!!Bachelor's degree","Margin of Error!!Total:!!Born in other state in the United States:!!Bachelor's degree","Estimate!!Total:!!Born in other state in the United States:!!Graduate or professional degree","Margin of Error!!Total:!!Born in other state in the United States:!!Graduate or professional degree","Estimate!!Total:!!Native; born outside the United States:","Margin of Error!!Total:!!Native; born outside the United States:","Estimate!!Total:!!Native; born outside the United States:!!Less than high school graduate","Margin of Error!!Total:!!Native; born outside the United States:!!Less than high school graduate","Estimate!!Total:!!Native; born outside the United States:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Native; born outside the United States:!!High school graduate (includes equivalency)","Estimate!!Total:!!Native; born outside the United States:!!Some college or associate's degree","Margin of Error!!Total:!!Native; born outside the United States:!!Some college or associate's degree","Estimate!!Total:!!Native; born outside the United States:!!Bachelor's degree","Margin of Error!!Total:!!Native; born outside the United States:!!Bachelor's degree","Estimate!!Total:!!Native; born outside the United States:!!Graduate or professional degree","Margin of Error!!Total:!!Native; born outside the United States:!!Graduate or professional degree","Estimate!!Total:!!Foreign born:","Margin of Error!!Total:!!Foreign born:","Estimate!!Total:!!Foreign born:!!Less than high school graduate","Margin of Error!!Total:!!Foreign born:!!Less than high school graduate","Estimate!!Total:!!Foreign born:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Foreign born:!!High school graduate (includes equivalency)","Estimate!!Total:!!Foreign born:!!Some college or associate's degree","Margin of Error!!Total:!!Foreign born:!!Some college or associate's degree","Estimate!!Total:!!Foreign born:!!Bachelor's degree","Margin of Error!!Total:!!Foreign born:!!Bachelor's degree","Estimate!!Total:!!Foreign born:!!Graduate or professional degree","Margin of Error!!Total:!!Foreign born:!!Graduate or professional degree",
"0400000US01","Alabama","3474924","5963","389297","10696","1057155","15767","1027681","16488","609316","12278","391475","9973","2190053","17110","259353","9025","736288","13257","658286","12570","342166","9233","193960","6955","1088416","16994","87317","4783","272310","8904","334098","11319","231449","9212","163242","6668","36993","3557","2533","968","6901","1664","12039","1801","8975","1973","6545","1411","159462","7249","40094","4087","41656","4605","23258","2736","26726","3172","27728","2978",
"0400000US02","Alaska","489218","1732","32669","3338","142455","6252","164448","5830","94168","4883","55478","4255","141948","4599","12596","1842","56908","3657","44342","3409","19194","2541","8908","1514","283965","5353","11193","1722","65720","4445","103014","4658","64373","4660","39665","3617","12674","2409","642","356","3831","1493","3819","1076","2450","996","1932","844","50631","4261","8238","1905","15996","2265","13273","1973","8151","1621","4973","1412",
"0400000US04","Arizona","5053656","3052","548248","13777","1202946","17012","1636323","21218","1032052","17474","634087","13644","1269038","18788","137661","7593","350341","11127","454959","12939","219410","8506","106667","5693","2851797","17400","152741","8349","635784","15151","984880","17269","667332","11725","411060","10679","80855","5687","7164","1601","17177","3100","25837","3003","20057","2977","10620","1569","851966","16350","250682","10925","199644","9232","170647","6785","125253","7571","105740","6610",
"0400000US05","Arkansas","2057624","5056","223437","7461","705670","13019","605710","12208","323961","9190","198846","8534","1100449","12566","106073","4864","413819","10005","322799","10129","163704","7114","94054","5985","807724","11704","71777","4916","252580","7713","257338","8698","139440","6312","86589","5764","17730","2760","1320","691","5621","1642","5094","1170","3343","1134","2352","805","131721","6530","44267","3687","33650","4075","20479","2998","17474","2632","15851","2569",
"0400000US06","California","26866773","6486","4115683","38059","5506855","44949","7308294","48239","6056169","46367","3879772","31932","11880658","55189","915899","17323","2788940","31858","4083104","37965","2717809","31873","1374906","18668","5033565","36408","233305","8213","772532","16584","1431365","18220","1474743","24348","1121620","15143","400723","13777","48810","5046","70387","5403","113325","6191","106802","5698","61399","4657","9551827","48157","2917669","31761","1874996","29348","1680500","23922","1756815","25804","1321847","21880",
"0400000US08","Colorado","4084004","4595","284568","11415","823109","14508","1101195","15848","1177891","16028","697241","14357","1225406","19812","80189","5984","330061","10342","375723","10842","305974","10299","133459","5859","2299274","18987","76627","5376","374453","10097","615055","13418","761453","13392","471686","10824","73028","4756","3376","1126","11999","2486","20155","2629","22212","2435","15286","1868","486296","13230","124376","7657","106596","7498","90262","6059","88252","4621","76810","5604",
"0400000US09","Connecticut","2545188","2643","216035","9746","660047","12734","602702","12641","584999","10885","481405","12122","1162300","15611","61472","4976","361854","11464","309719","9724","255043","8239","174212","6490","772023","14333","34495","3755","141094","6347","167411","7766","221359","8022","207664","8033","113958","6490","27824","3229","34214","4077","27620","3673","15225","2580","9075","1338","496907","12189","92244","6972","122885","6785","97952","6694","93372","5527","90454","5897",
"0400000US10","Delaware","724041","851","57924","3998","204385","7697","197348","8002","151894","6552","112490","5604","234783","7077","18768","2471","81151","5274","68938","4229","43309","3746","22617","2311","387752","8590","21309","2708","98336","5310","109337","5906","88846","5640","69924","4146","13827","2090","2116","942","4929","1392","2936","819","2735","938","1111","661","87679","5067","15731","2525","19969","2699","16137","2299","17004","2586","18838","2564",
"0400000US11","District of Columbia","479231","460","30355","3241","64543","4412","71059","5271","126678","5934","186596","5521","120504","6265","13318","2685","36600","3974","32429","4120","21710","2951","16447","2428","259841","6795","8924","1550","17903","2228","23437","3067","82395","4456","127182","5319","9613","1925","54","91","264","202","839","564","3743","1122","4713","1356","89273","6463","8059","2031","9776","2044","14354","3173","18830","3055","38254","3642",
"0400000US12","Florida","16104410","6772","1622930","25951","4363609","38870","4599453","34933","3445343","30030","2073075","25429","3630209","37638","335285","11453","1111623","21980","1105244","23217","721363","17462","356694","11392","7545314","36407","421988","13674","1931602","26009","2355587","25905","1737328","24242","1098809","16744","667143","18040","79962","6806","175374","10731","198010","9527","135387","7760","78410","5630","4261744","33787","785695","20034","1145010","22571","940612","21188","851265","21804","539162","14017",
"0400000US13","Georgia","7332980","9439","768936","15797","1979843","27436","2040087","22905","1519625","22167","1024489","20102","3203475","32320","374936","10706","1086752","22440","926845","18736","505536","15027","309406","10798","2998448","31421","164764","8527","647920","16519","889391","16698","773518","16405","522855","13743","122772","6886","7679","1657","29102","3177","37979","3633","27357","2878","20655","2657","1008285","17755","221557","10054","216069","9968","185872","8674","213214","9729","171573","8638",
"0400000US15","Hawaii","1023843","1861","72742","4724","273910","8144","314487","8737","226124","6613","136580","5439","483836","9448","25512","2682","155452","7546","151989","6892","100319","4848","50564","2901","286204","5901","8293","1729","49860","3489","93712","4707","72104","3882","62235","3991","29510","2913","2196","710","5943","1275","10805","1593","6917","1527","3649","767","224293","9242","36741","4126","62655","3690","57981","4470","46784","3897","20132","2209",
"0400000US16","Idaho","1280178","3552","102284","5378","333105","8876","431621","8384","274409","8549","138759","5224","425609","9074","27248","2945","125400","6110","153750","5153","82712","4519","36499","2819","741342","10341","40296","3294","177666","7566","254904","7354","176957","7278","91519","4771","13916","1952","754","460","2832","974","5144","1149","2893","884","2293","728","99311","5873","33986","3267","27207","3511","17823","2485","11847","1751","8448","1401",
"0400000US17","Illinois","8692839","4340","834379","17088","2187110","24850","2395932","27952","1952990","22146","1322428","20565","5182695","26421","310951","10888","1467717","20125","1643693","21813","1110229","16702","650105","14647","1758848","24614","108337","5867","329233","8744","440422","13485","495492","14324","385364","10633","111040","6943","23223","3370","21826","2325","28527","3475","22714","3202","14750","2066","1640256","21191","391868","13151","368334","13654","283290","10634","324555","10157","272209","9557",
"0400000US18","Indiana","4584460","5286","449388","11701","1472890","18976","1305170","19502","869217","13163","487795","10852","2827256","18824","248577","8941","1005509","14931","832897","14954","507933","11791","232340","7093","1385752","18523","110141","5517","376703","11186","405365","12390","299272","8698","194271","8033","36000","3414","3352","1099","10729","2145","10146","1867","6088","1333","5685","1409","335452","8857","87318","7316","79949","6761","56762","5031","55924","4380","55499","4221",
"0400000US19","Iowa","2159511","3801","141021","6335","637844","10658","682840","11074","463740","8923","234066","6335","1441826","11444","68197","3799","463591","9790","475396","8695","305374","7756","129268","5354","551412","12226","31886","2962","135998","4724","176291","6973","127913","5773","79324","3756","12733","2066","915","527","3681","1022","4167","1222","2832","873","1138","464","153540","5967","40023","3994","34574","3704","26986","3318","27621","3175","24336","2753",
"0400000US20","Kansas","1944891","4295","154181","6481","491928","10399","606239","10202","426910","9464","265633","7918","1012793","11357","56422","4679","283818","8124","344811","8007","213204","6057","114538","5274","732664","10386","40899","3072","163166","6358","227013","7142","181697","6115","119889","5424","22938","2896","966","515","5542","1413","6485","1488","5969","1465","3976","1057","176496","7295","55894","4398","39402","3561","27930","2869","26040","2483","27230","2623",
"0400000US21","Kentucky","3091499","4420","340059","9902","1002671","15723","887433","15222","508620","11344","352716","9866","1944908","15655","226937","8185","689207","12119","566207","12902","274200","8268","188357","7748","976471","14499","80724","4483","271997","8353","286407","7885","200661","9572","136682","5785","25803","2556","1663","569","5213","1043","9121","1699","6078","1383","3728","926","144317","5187","30735","3244","36254","3644","25698","2490","27681","3351","23949","2540",
"0400000US22","Louisiana","3096121","6621","393283","12554","1006184","16682","856548","14270","525044","12490","315062","11524","2288026","16097","294747","10493","795655","14966","639748","11666","362270","11328","195606","9282","626025","14949","55317","4489","167908","7792","181278","7621","129607","6605","91915","6333","22990","3003","1384","566","5658","1542","7547","1819","5317","1136","3084","960","159080","7187","41835","3651","36963","3341","27975","3057","27850","2957","24457","2814",
"0400000US23","Maine","1030141","2323","55168","3721","310778","8673","292637","7920","229764","7599","141794","6918","557629","9800","34913","2947","207091","7164","171542","7121","98718","4434","45365","3359","415064","9360","15460","2098","90441","5002","106994","4982","116069","5876","86100","5667","11257","1653","137","132","2459","675","3480","891","3605","1031","1576","453","46191","3193","4658","1132","10787","1532","10621","1815","11372","1738","8753","1548",
"0400000US24","Maryland","4286216","3465","367917","12192","1009588","16094","1030006","17404","996167","15644","882538","16204","1610992","18174","129916","7011","518661","13460","444469","10828","319809","9009","198137","8034","1717865","21718","75194","5002","303319","11590","415835","12094","460536","10649","462981","11599","71499","5240","5693","1532","10897","1820","18657","2483","20540","2822","15712","2066","885860","17155","157114","7878","176711","9638","151045","7959","195282","9543","205708","9187",
"0400000US25","Massachusetts","4947384","3082","428752","12395","1136350","19619","1074573","18349","1252187","15499","1055522","16495","2581195","18080","142843","7003","690449","14974","673334","12732","660780","14013","413789","9341","1132446","19072","40415","3806","142516","7390","191402","8361","364654","10514","393459","10939","148394","7080","40400","4227","43792","3774","28754","3982","20451","2661","14997","2071","1085349","16638","205094","9006","259593","11365","181083","7975","206302","9038","233277","9449",
"0400000US26","Michigan","6978952","4408","569722","11317","1962345","18856","2205033","22629","1361139","17234","880713","13191","5028711","17793","355909","9555","1508623","16679","1704646","18716","939197","14980","520336","9221","1301220","15975","94948","4940","321277","9120","376138","10299","286750","9046","222107","7992","55117","4542","7292","1680","12412","1672","17752","2283","11088","1994","6573","1180","593904","13831","111573","5576","120033","6929","106497","5988","124104","5845","131697","5906",
"0400000US27","Minnesota","3918565","4418","233881","9342","917132","12547","1233841","14864","995083","12886","538628","11066","2409753","14471","93565","4590","638555","9739","835385","11771","589258","10561","252990","7566","1063487","13871","38905","3077","190297","6480","305706","8402","318202","8154","210377","6310","32254","2930","2723","947","7371","1749","9712","1354","7348","1177","5100","1074","413071","8558","98688","6816","80909","6115","83038","4944","80275","4145","70161","5324",
"0400000US28","Mississippi","1963322","4818","243526","8618","604163","11643","629447","12807","297480","8427","188706","8074","1301674","12455","171110","8371","411936","10632","422501","11080","181732","6210","114395","6472","593198","12073","56284","4293","173686","7162","194030","7281","105532","5913","63666","4292","14163","2305","1257","557","4287","1266","4324","1147","2934","992","1361","595","54287","3525","14875","2330","14254","2233","8592","1517","7282","1223","9284","1986",
"0400000US29","Missouri","4236010","4990","357617","9960","1275978","17420","1238398","17356","835865","14833","528152","12321","2540238","15612","213698","7361","840005","14538","756885","12952","468102","11053","261548","9027","1444975","17217","101564","5223","377920","10135","432739","10120","315846","9099","216906","6932","37427","3322","3891","1051","9762","1994","10829","2072","7916","1384","5029","1204","213370","7483","38464","3359","48291","4971","37945","3598","44001","3822","44669","3489",
"0400000US30","Montana","785438","2895","46751","3060","217592","6337","249353","6895","179708","6173","92034","4845","341452","7576","23313","2084","109428","5324","109937","4399","71263","4047","27511","2628","413485","7163","20410","2133","101825","4824","131074","5269","101282","4739","58894","4247","7658","1528","814","499","1770","654","1423","615","2279","895","1372","525","22843","2471","2214","756","4569","1397","6919","1278","4884","1257","4257","1184",
"0400000US31","Nebraska","1300094","3208","93708","4592","326031","7960","429838","7437","293346","7356","157171","6620","752531","9285","30802","2448","199599","6747","265577","6959","179076","6319","77477","4383","415919","9939","20582","2344","96904","4628","140644","5971","94607","4452","63182","4191","11869","1643","658","338","2849","1080","3502","1121","3078","845","1782","571","119775","6017","41666","3941","26679","3168","20115","2561","16585","2500","14730","2283",
"0400000US32","Nevada","2223852","2501","279791","10251","620161","14350","722688","14250","390872","12563","210340","8094","273620","8944","25694","3391","93385","5488","88425","4214","43584","4356","22532","2575","1349568","13723","91508","5291","373292","11498","491291","12494","248701","8945","144776","6867","49067","5617","6360","1574","12992","2379","17225","2624","7228","1648","5262","1724","551597","11864","156229","7982","140492","7988","125747","7131","91359","5636","37770","3601",
"0400000US33","New Hampshire","1024780","1913","56005","4021","277802","8385","267703","7455","252073","7855","171197","5818","336147","8028","23041","2317","111590","6540","94442","5064","72327","4737","34747","2994","600221","8609","22409","2676","146329","6078","156934","6392","160818","6323","113731","4742","12148","1771","995","505","2733","873","3768","1259","2543","859","2109","690","76264","4251","9560","1881","17150","2768","12559","1880","16385","2337","20610","2613",
"0400000US34","New Jersey","6482223","3783","602004","14579","1635078","19609","1423533","21774","1679895","17944","1141713","18155","2688575","25680","139694","8090","773980","14075","662547","16948","721751","14020","390603","10674","1698631","18806","70346","5399","368746","8845","389017","11543","490708","13016","379814","10125","166875","7954","41551","4368","45708","4448","37306","3828","25543","2756","16767","2348","1928142","22310","350413","10835","446644","14874","334663","11741","441893","10830","354529","11351",
"0400000US35","New Mexico","1453129","5689","174301","8340","374107","10742","462124","11286","246178","7957","196419","7066","645193","12460","74020","5327","205466","8342","220160","9813","91842","5100","53705","3773","614683","10993","36095","3894","125122","6593","202682","7809","131315","5275","119469","5260","20376","2317","1077","590","4151","1382","7477","1568","4104","1066","3567","854","172877","8646","63109","5479","39368","3916","31805","4208","18917","2487","19678","2700",
"0400000US36","New York","13892241","4990","1681213","27127","3413879","32922","3240588","29198","3097409","30892","2459152","30763","7611574","36563","558205","16366","2031080","25617","2059386","25440","1655931","21413","1306972","19424","1886497","23742","101702","5625","293268","9271","372340","10501","625129","13604","494058","11646","385232","13121","96684","6506","99747","7028","81181","6222","59658","4524","47962","4359","4008938","32587","924622","20516","989784","21831","727681","16842","756691","15730","610160","16338",
"0400000US37","North Carolina","7372120","8768","722720","15087","1834892","23837","2166509","20677","1678483","21415","969516","18256","3368527","30117","359578","12068","1024974","17526","1078329","18269","625119","13310","280527","10564","3111411","29582","150319","7402","624110","16286","915716","20653","873222","15938","548044","16045","108430","6596","8889","1899","23431","3152","37289","3257","25446","3079","13375","2145","783752","14905","203934","9770","162377","7482","135175","8435","154696","8378","127570","6809",
"0400000US38","North Dakota","514786","2634","31578","3059","131842","4432","187525","5749","115034","5016","48807","3358","301486","5858","16434","1735","78834","3962","114659","4577","66574","3624","24985","2493","174811","6026","10156","1536","43288","3226","61768","4484","40931","3600","18668","2062","7506","1646","696","564","2612","974","2313","888","1499","584","386","340","30983","2974","4292","1527","7108","1941","8785","1848","6030","1284","4768","1385",
"0400000US39","Ohio","8130929","5579","670433","19106","2597720","22502","2262397","22668","1578535","18163","1021844","15964","5730603","24462","429717","13721","1991750","21014","1663577","21264","1058029","14807","587530","10357","1821792","22155","139102","5997","477630","12623","493096","12183","401617","9857","310347","9661","83552","5390","11582","2119","21554","3023","23216","2575","15069","2112","12131","1989","494982","10289","90032","6825","106786","6770","82508","5326","103820","6384","111836","6491",
